customer_id,full_name,email,segment,region,country,created_at
CUST_000001,Danielle Walters,carlsonjoseph@example.net,Premium,East,Pitcairn Islands,2019-08-02
CUST_000002,Ronald Foster,amandadiaz@example.net,Premium,North,Falkland Islands (Malvinas),2021-11-19
CUST_000003,Lisa Newman,maryholmes@example.org,Budget,West,Madagascar,2021-07-11
CUST_000004,Amber Burns,apace@example.com,Regular,East,Equatorial Guinea,2023-01-28
CUST_000005,Heather Wilson,csmith@example.net,Budget,North,Senegal,2019-03-17
CUST_000006,John Weeks,jameswilliams@example.org,Budget,South,Hong Kong,2018-08-26
CUST_000007,Jeanette Mejia,susan44@example.net,Budget,South,Costa Rica,2018-04-24
CUST_000008,Carrie Davis,erikmartinez@example.com,Premium,West,Kiribati,2023-04-19
CUST_000009,Todd Pearson,stewartlaura@example.net,Premium,West,Korea,2021-01-27
CUST_000010,James Levine,barreraamber@example.org,Budget,South,Sudan,2022-05-13
CUST_000011,Brian Morgan,nicholas81@example.com,Regular,East,Bangladesh,2021-01-10
CUST_000012,Colton Rivera,melissarivera@example.org,Regular,North,Liechtenstein,2018-04-29
CUST_000013,Veronica Cook,aaronbell@example.org,Regular,West,Saudi Arabia,2018-04-09
CUST_000014,Kelly Thomas,mlewis@example.net,Regular,East,American Samoa,2021-09-19
CUST_000015,Wesley Wiggins,stephen69@example.org,Regular,South,China,2021-01-16
CUST_000016,Dawn Moran,alexandraduran@example.com,Premium,South,Burkina Faso,2021-02-10
CUST_000017,Bruce Taylor,wbrown@example.org,Regular,South,Belize,2023-10-06
CUST_000018,Thomas Evans,williamsstanley@example.com,Budget,South,Latvia,2020-06-17
CUST_000019,Thomas Barber,melissa98@example.com,Regular,South,New Caledonia,2021-11-18
CUST_000020,Anthony Thompson,april18@example.org,Regular,South,Niue,2020-08-22
CUST_000021,Elizabeth Jones,johnerickson@example.org,Regular,South,Antarctica (the territory South of 60 deg S),2023-07-05
CUST_000022,Eric Flores,greenemichael@example.com,Premium,West,South Africa,2020-03-26
CUST_000023,Melanie Browning,bakernathaniel@example.com,Regular,South,Bahamas,2018-02-23
CUST_000024,Victoria Cooper,tylervalenzuela@example.org,Regular,North,Isle of Man,2023-11-15
CUST_000025,Gail Brown,donna10@example.com,Regular,West,Haiti,2021-07-25
CUST_000026,James Fernandez,gwalker@example.com,Regular,East,Bangladesh,2020-12-24
CUST_000027,Mrs. Vanessa Smith,kfoley@example.com,Budget,North,Guinea-Bissau,2019-05-18
CUST_000028,Michelle Morris,carlossandoval@example.com,Budget,East,Vietnam,2023-11-08
CUST_000029,Elijah Thomas,smithbetty@example.com,Regular,South,Albania,2020-07-27
CUST_000030,Bryan Vang,brandywilson@example.net,Regular,North,Niue,2021-11-30
CUST_000031,Traci Weaver,pamela18@example.org,Budget,West,Liberia,2023-04-03
CUST_000032,Shelley Harris,vsullivan@example.com,Regular,South,Bhutan,2021-09-22
CUST_000033,Christopher Burnett,hannahlee@example.org,Budget,South,Estonia,2019-05-31
CUST_000034,Katie Charles,isanders@example.com,Premium,South,United Arab Emirates,2019-06-14
CUST_000035,Amanda Little,maria12@example.net,Premium,West,Ghana,2018-03-14
CUST_000036,Eduardo Russell,mmartinez@example.net,Budget,North,Luxembourg,2021-02-07
CUST_000037,Michelle Gonzalez,deborahferguson@example.org,Budget,North,Switzerland,2019-01-07
CUST_000038,Janice Melton,mariahlane@example.net,Regular,West,Peru,2021-12-24
CUST_000039,Fred Gonzalez,tylerclark@example.com,Budget,West,Estonia,2023-12-28
CUST_000040,Timothy Johnson,collinsbruce@example.net,Budget,South,Czech Republic,2023-05-16
CUST_000041,Amy Ward,murphymichael@example.org,Regular,East,Guam,2023-04-28
CUST_000042,Suzanne Holt,qmack@example.org,Premium,West,Gibraltar,2022-02-13
CUST_000043,Jonathan Thomas,rthompson@example.com,Budget,North,Haiti,2020-09-15
CUST_000044,Thomas Vazquez DDS,amandapowers@example.net,Premium,East,Italy,2019-11-01
CUST_000045,Marissa Kelly,johnstevens@example.com,Premium,East,Mongolia,2018-06-30
CUST_000046,Jessica Melendez,christina58@example.net,Regular,North,Ukraine,2018-06-24
CUST_000047,Mr. Shawn Patterson,johnpeterson@example.org,Premium,North,Ecuador,2022-08-19
CUST_000048,Mrs. Sharon Williams,guerraangela@example.org,Regular,East,Moldova,2023-06-13
CUST_000049,Donna Castillo,jenny99@example.net,Premium,North,Hungary,2023-10-19
CUST_000050,Nicole Jackson,sabrina96@example.org,Budget,West,Moldova,2023-06-13
CUST_000051,Howard Klein,maynardadam@example.net,Budget,West,United Kingdom,2021-12-12
CUST_000052,Alexandra Freeman,tinaward@example.net,Premium,South,American Samoa,2020-05-18
CUST_000053,Scott Thomas,pmartinez@example.org,Regular,North,Cuba,2021-07-06
CUST_000054,Brandi Brewer,madisonjones@example.com,Premium,East,Saint Vincent and the Grenadines,2018-07-25
CUST_000055,Debra Fernandez,brittany79@example.net,Premium,West,Romania,2022-03-17
CUST_000056,Craig Mckay,patrickhall@example.org,Regular,South,Cook Islands,2018-07-08
CUST_000057,Jose Hernandez,linda40@example.org,Regular,South,Bermuda,2018-04-22
CUST_000058,Allison Evans,wilsonkristin@example.net,Regular,South,Croatia,2022-12-30
CUST_000059,Logan Hill,timothylopez@example.org,Regular,West,Northern Mariana Islands,2023-11-10
CUST_000060,Tanya Harris,ubennett@example.org,Budget,South,Spain,2023-12-09
CUST_000061,Rebecca Simmons,benitezjessica@example.com,Regular,East,Guinea,2021-09-17
CUST_000062,Lynn Villanueva,vrosales@example.com,Budget,West,Bouvet Island (Bouvetoya),2018-12-08
CUST_000063,Donna Alvarez,michelle19@example.net,Regular,South,Denmark,2021-11-06
CUST_000064,Donald Bauer,rebeccasawyer@example.com,Premium,East,Cape Verde,2019-07-22
CUST_000065,Susan Garcia,sheryl33@example.net,Budget,North,Indonesia,2023-10-21
CUST_000066,Victor Hernandez,anthonyamanda@example.com,Budget,West,Puerto Rico,2021-09-01
CUST_000067,Melissa Bennett,hthompson@example.org,Regular,North,Portugal,2022-02-21
CUST_000068,Daniel Murphy,smithmanuel@example.net,Regular,North,Equatorial Guinea,2020-01-10
CUST_000069,Mr. James Diaz,timothy39@example.net,Regular,East,French Southern Territories,2021-12-27
CUST_000070,Blake Livingston,gregory82@example.net,Regular,West,Niger,2023-11-30
CUST_000071,Mathew Munoz,clifford99@example.org,Premium,West,Croatia,2020-11-20
CUST_000072,Adrienne Black DDS,adrian13@example.com,Regular,South,Togo,2022-06-29
CUST_000073,Tracy Fox,ashleydoyle@example.org,Regular,West,Madagascar,2021-06-06
CUST_000074,Raymond Nichols,ofrazier@example.net,Budget,West,British Indian Ocean Territory (Chagos Archipelago),2022-11-16
CUST_000075,Lisa Simmons,justinbrown@example.net,Regular,West,Gibraltar,2018-12-31
CUST_000076,Scott Jenkins,jessica62@example.net,Regular,North,Equatorial Guinea,2022-05-16
CUST_000077,Kimberly Greene,xrogers@example.org,Regular,East,Argentina,2018-03-01
CUST_000078,Jason King,john42@example.com,Premium,South,Cyprus,2020-02-16
CUST_000079,Lori Manning,davidrussell@example.net,Budget,East,Qatar,2021-02-06
CUST_000080,Anthony Taylor,jamesnicole@example.com,Regular,East,Finland,2022-12-26
CUST_000081,Ashley Mcdaniel,casey47@example.net,Regular,East,Christmas Island,2020-08-13
CUST_000082,Kimberly Davis,larsonsamantha@example.com,Regular,East,Guinea-Bissau,2018-02-02
CUST_000083,Jason Snow,arellanorebecca@example.com,Regular,South,Armenia,2020-06-01
CUST_000084,Shannon Black,nicholaspatel@example.net,Regular,North,South Africa,2018-08-23
CUST_000085,David Rodriguez,ggarcia@example.org,Budget,West,France,2019-07-16
CUST_000086,Tara Stevens,karenfuller@example.net,Regular,North,Burundi,2021-06-14
CUST_000087,Gregg Fletcher,williamsjames@example.org,Premium,East,Montserrat,2023-12-20
CUST_000088,Alexis Copeland,adammclaughlin@example.org,Regular,South,Bangladesh,2022-06-13
CUST_000089,Christine Byrd,devans@example.org,Regular,North,Central African Republic,2023-12-02
CUST_000090,Jacqueline Decker,griffintyler@example.net,Regular,West,Afghanistan,2018-10-28
CUST_000091,Christopher Mason,sharris@example.net,Regular,South,Argentina,2020-08-31
CUST_000092,Brandon West,kmccarty@example.org,Regular,South,Bahamas,2021-10-14
CUST_000093,Thomas Miller,jessicapark@example.net,Budget,East,Ecuador,2018-04-05
CUST_000094,Dominic Anderson,hernandezsarah@example.com,Regular,West,Andorra,2022-09-11
CUST_000095,Stephen Allen,anna23@example.org,Budget,South,Montserrat,2018-07-13
CUST_000096,Brenda Bennett,valeriehansen@example.net,Budget,East,Korea,2019-07-12
CUST_000097,Joseph Alvarez,aaustin@example.net,Budget,West,Jamaica,2019-12-03
CUST_000098,Rachel Gordon,warnersharon@example.net,Premium,West,Brunei Darussalam,2022-10-27
CUST_000099,Robin Vasquez,wallchelsea@example.net,Regular,South,Mongolia,2022-01-07
CUST_000100,Justin Summers,fglenn@example.org,Budget,South,Saint Helena,2019-06-08
CUST_000101,Denise Alexander,porozco@example.org,Regular,West,Mexico,2022-01-27
CUST_000102,Jack Foster,mooneywilliam@example.net,Regular,West,Afghanistan,2019-09-02
CUST_000103,Vincent King,anitamorrison@example.com,Regular,South,Lao People's Democratic Republic,2022-03-18
CUST_000104,Pamela Newman,deannamccann@example.com,Regular,South,Guinea-Bissau,2018-11-17
CUST_000105,Sydney Lin,rhonda18@example.org,Premium,South,Antarctica (the territory South of 60 deg S),2021-07-13
CUST_000106,Michael Jensen,clarkejennifer@example.org,Budget,South,Afghanistan,2022-11-25
CUST_000107,Kevin Jones,ymcbride@example.com,Regular,West,Lebanon,2020-06-26
CUST_000108,Danielle Williams,rosemichelle@example.org,Budget,West,Botswana,2023-09-06
CUST_000109,Julie Sandoval,alexander54@example.net,Regular,North,Sierra Leone,2023-02-08
CUST_000110,Sandra Harris,xmiller@example.org,Budget,South,Mayotte,2023-03-24
CUST_000111,Jenna Long,meghanmeyer@example.com,Budget,South,Turkmenistan,2022-10-07
CUST_000112,Carolyn Cantrell,john57@example.org,Regular,North,Uganda,2023-01-19
CUST_000113,Chelsea Randolph,youngryan@example.com,Premium,South,Burundi,2019-01-11
CUST_000114,Alison Villarreal,wsharp@example.com,Regular,West,Vietnam,2022-06-20
CUST_000115,Laura Morris,bruce78@example.net,Budget,South,Andorra,2018-11-10
CUST_000116,Michelle Ramirez,elizabethjohnson@example.net,Regular,North,Armenia,2019-12-12
CUST_000117,Lauren Hebert,michelle80@example.org,Regular,South,Slovenia,2019-10-08
